ACBEEDBCAEECDBBAEBCDEBEDBACCAB
ABCECBACEBCEDBACDBECADECCCBEDA
sait,ACBEEDBCAEECDBBAEBCDEBEDBACCAB,ABCECBACEBCEDBACDBECADECCCBEDA,ANK
ALI TUZCU,ACBE DBCA ECDBBAEBEDCBEDBACCAB,AABCCBACEBCEDDACDBECEEEC CBEDA,ANK IZM IST
VELI YAZ,ADBEEDBCAEEC BBAEBCDEBEDBACDAB,ABDDCBACEBCED ACDBECADECCCCCDA,ANK IZM IST
AYSE,ADEDADBCAEEC BBAEBCDEBEDBACDAB,ABDDCBACEBCED ACDBECADECCCCCDA,ANK IZM IST
FATMA,ADBCCCBCAEECDBBAEBCDCBEDBACDAB,ABDDCBACEBCBC ACDBECADEDBACCDA,ANK IZM IST
HAYRIYE,ADBEEDBCAEEC BBAEBCDEBEDBACDAB,ABDDCBACEBCED ACDBAEADECCCCCDA,ANK IZM IST
MANUS BABA,ADBEEDBCAEECDBBBBBCDEBEDBACDAB,ABDDCBACEBCEDDACDBAEADECCCCCDA,ANK IZM IST
DAVID COPPERFIELD,ACBEEDBCAEECDCCAEBCDEBEDBACCAB,ABCECBACEDEEDBACDBECADECCCBEDA,ANK IZM IST
YANA YAKILA,ACBEEEACAEEDCBBAEBCDEBEAEBCCCA,ABAACBACEBBCEDACDBECADBECCBEDA,ANK IZM IST
YASIN BAKIR,ACCEEDECAEEDDBB EBCDEBEDBACCAB,ABCECBACEBCEDAACDDEAACEACABEDA,ANK IZM IST
SUBHANEKE DEMIR,ACBEEDBCAEDCDCDAEBECEBEDBACCAB,ABCECDACEEBADBACDBECADECCCBEDA,ANK IZM IST
HACIVAT,ACBEEDBCAEDCDCDAEBECEBEDBACCAB,ACBEEDBCAEDCDCDAEBECEBEDBACCAB,ANK IZM IST
BEBERUHI,ACBEEDBCAEDCDCDAEBECEBEDBACCAB,ACBEEDBCAEDCDCDAEBECEBEDBACCAB,ANK IZM IST
BEBERUHI,ACBEEDBCAEDCDCDAEBECEBEDBACCAB,ACBEEDBCAEDCDCDAEBECEBEDBACCAB,ANK IZM IST
DEDERUHI,ADEEACBCDCCDCDEABCBCECBDDAEEBD,CABA CCE DDBABCDEDBCC DEACCDCC,ANK IZM
KANLI NIGAR,C CACDEAACBBEAAAEBEAABCBBDEBBE,DCAA BCAECCDDDBABDCAADEDAECEA ,ANK IZM
HUSMEN AGA,EBAADCCDAAADCECDDAECDDCDBBEEBB,DBAAEBBACDDCAEDDEAACDBBEDEEEEB,IST
CAY TIRYAKISI,DBEEDACEAEBBADBECBCEAEABCCECDB,BEAADCBCDDB D ACBEACA BAEB A B,IST ANK IZM
MATARAMA SUKO,DEABDEAEAEEBBDCCCBEEBBE EBE AA,B AEBBBABAD AEDDCCCDEAEBEBDDEA,IST ANK IZM
CENGIZ INSAAT,EEBCBDCBCCAAAEADEBBEBABBECCE C,EACDCEBC EBB ADEEB CEDACBBEBCE,IST ANK IZM
GECIM SIKINTISI,DAAEBED CDBACAEDDACEBADDBBDAEC, CCEADEAA EDDE BBBAAEDA ECBAAA,IST ANK IZM
ELALEMIN DERDI,CACA CDDEBBBDDEDBADCABDEBCCDBE,BCBBDCDEDCCBAAABC BEEB EADCDBB,IST ANK IZM
NADIA COMANECI,EAABCACBEDEEA EBDEBEDCADECBBEB,CDABBCBDBAE BBCECBBDBDDDEACBEB,IST ANK IZM
TACSIZ KRAL PELE,EACADDDABDDADEEE ADCAB AAADCED,ADDEBAEEABABCABDBADEE CACABAEB,IST ANK IZM
ALMAN KALECI MAYER,CBEACAADDEBECECACAAEBEADCABADC,EBCADAAEDDBBEDECB BBECABECAEC ,IST ANK IZM
BECKENBAUER,CAACDDDDABBC DBEEEEAABBEAADBDA, D DEC ABAAAEABCEAAAEEACDDDAAA,IST ANK IZM
FENERBAHCELI CEMIL,CBDBEDBAADDBCEEDC BBEDDBAABABC,EBCEBBCCDECC ACCAEDECBABBDCCDB,IST ANK IZM
INGILTERE KRALI,DBECDEDACACA  CEEBDEDEADCBEDEE,ACCEAAEECCEBD EABDEEDDDDADBCCD,IST ANK IZM
BRIGITTE BARDOT,CE EEEACEBBABD AED BBECEAADCE ,DBDCEDBBEEBCAE CEAAEECCECAD BC,IST ANK IZM
RAHMETLI BASKAN KENNEDY, BCBDEDDEDADBBEEDEDCBEBDDDBAAD,CEABCD ECEAEEBE CACBAAC D EEDC,IST ANK IZM
ABDULLAH AYAR,AACEEECB ACDABDAEDDABDACDBCACE,BCBEACBA BCADBCEEDDACEDDDECCBA,IZM IST ANK
